City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,lebu,-37.61,-73.6559,10.58,79,94,1.93,CL,1686134251
216,saint-pierre,48.3833,7.4719,25.7,42,0,2.82,FR,1686134252
217,keflavik,63.9998,-22.5583,6.95,75,100,3.09,IS,1686133930
218,chinde,-18.5831,36.4616,27.54,55,0,3.65,MZ,1686134254
219,prince rupert,54.3127,-130.3255,10.69,93,0,1.03,CA,1686134254
220,carnarvon,-24.8826,113.6576,19.12,58,3,5.9,AU,1686134255
221,atherton,37.4538,-122.2058,15.59,82,0,2.06,US,1686134255
222,joshimath,30.5556,79.5613,20.29,57,78,3.38,IN,1686134256
223,bayramaly,37.6124,62.1717,39.87,5,1,3.4,TM,1686134256
224,kerikeri,-35.2273,173.9491,11.49,88,55,1.34,NZ,1686134257
225,kudahuvadhoo,2.6705,72.8906,28.64,75,51,4.73,MV,1686134257
226,arar,30.9816,41.0165,39.06,8,0,3.6,SA,1686134258
227,motueka,-41.1125,173.0095,6.13,88,1,1.55,NZ,1686134258
228,isafjordur,66.0727,-23.1194,8.05,66,40,3.6,IS,1686134259
229,tura,47.39,0.6889,26.64,50,24,4.63,FR,1686134260
230,almenara,39.7521,-0.2251,24.73,67,100,0.45,ES,1686134260
231,saint-junien,45.8872,0.9011,26.42,32,17,1.8,FR,1686134261
232,paracuru,-3.4144,-39.03,25.01,86,18,3.42,BR,1686134261
233,chemolgan,43.3712,76.6259,34.94,31,100,4.63,KZ,1686134262
234,puerto baquerizo moreno,-0.9026,-89.6102,25.58,78,92,4.73,EC,1686134262
235,misratah,32.3745,15.0905,23.03,68,14,5.19,LY,1686134263
236,yokadouma,3.5169,15.0521,27.08,75,100,1.24,CM,1686134263
237,hermanus,-34.4175,19.2361,17.13,59,12,3.51,ZA,1686134264
238,yorkton,51.212,-102.4612,16.9,94,0,2.57,CA,1686134265
239,anori,-3.7435,-61.6605,23.13,98,98,0.12,BR,1686134265
240,tazovsky,67.4735,78.7149,11.08,76,99,4.34,RU,1686134266
241,yurga,55.7136,84.9348,32.77,43,4,3.0,RU,1686134267
242,shahrud,36.4195,54.965,27.14,35,99,6.66,IR,1686134267
243,dingli,35.8604,14.3817,23.98,53,20,5.14,MT,1686134268
244,coquimbo,-29.9532,-71.338,12.93,87,100,2.06,CL,1686134268
245,las khorey,11.1603,48.1949,33.79,55,52,3.03,SO,1686134269
246,tolanaro,-25.0297,46.9904,25.88,78,20,6.17,MG,1686134269
247,kailua-kona,19.6419,-155.9969,23.06,88,27,2.24,US,1686134270
248,greve,55.5834,12.2999,23.57,32,0,1.03,DK,1686134270
249,juneau,58.3019,-134.4197,9.56,95,75,2.57,US,1686134271
250,itoman,26.106,127.6861,26.99,89,20,3.6,JP,1686134272
251,aoulef,26.9722,1.0787,39.21,13,13,8.62,DZ,1686134272
252,tafuna,-14.3278,-170.7255,27.9,89,75,8.75,AS,1686134273
253,rimouski,48.4502,-68.53,7.16,97,100,9.37,CA,1686134273
254,damnagar,21.6951,71.516,41.13,21,0,5.85,IN,1686134274
255,nouadhibou,20.9127,-17.0503,22.96,88,100,4.63,MR,1686134274
256,badger,42.6144,-94.1461,21.35,94,75,2.57,US,1686134228
257,el porvenir,15.4575,-92.2803,7.71,90,95,0.6,MX,1686134275
258,nemuro,43.3301,145.5829,10.54,99,85,3.62,JP,1686134276
259,monrovia,6.328,-10.7978,26.03,82,100,3.55,LR,1686134276
260,bayan nur,40.7419,107.382,25.58,22,25,10.56,CN,1686134277
261,malango,-2.9627,119.9001,18.94,88,27,1.07,ID,1686134277
262,laramie,41.3114,-105.5911,9.32,93,20,2.57,US,1686133882
263,shendi,16.6885,33.4323,39.48,21,73,3.25,SD,1686134278
264,paka,4.6369,103.436,28.96,84,20,2.06,MY,1686134279
265,port moresby,-9.4743,147.16,26.53,89,40,5.14,PG,1686134279
266,las heras,-46.5897,-68.9278,3.95,63,100,11.14,AR,1686134280
267,yuanping,38.7308,112.6995,27.37,25,43,5.15,CN,1686134280
268,sansanne-mango,10.357,0.477,33.98,47,93,3.51,TG,1686134281
269,goure,13.9862,10.2646,35.14,36,81,5.9,NE,1686134282
270,margate,51.3878,1.382,15.23,77,26,3.58,GB,1686134283
271,vila franca do campo,37.7172,-25.4335,17.23,88,87,9.27,PT,1686134284
272,inirida,3.865,-67.926,22.58,96,99,1.05,CO,1686134284
273,estherville,43.4027,-94.8364,21.37,81,20,2.57,US,1686134285
274,cole harbour,45.2594,-61.27,9.38,96,100,4.74,CA,1686134286
275,porbandar,21.6409,69.611,30.82,72,0,7.27,IN,1686134287
276,portland,45.5202,-122.6742,18.38,66,0,0.0,US,1686134096
277,bel ombre,-4.6194,55.4113,29.63,70,40,5.66,SC,1686134288
278,fort mcmurray,56.7292,-111.3885,9.77,81,0,2.06,CA,1686134122
279,birniwa,12.805,10.2238,34.64,38,100,5.64,NG,1686134291
280,christchurch,-43.531,172.6366,8.86,86,75,1.54,NZ,1686133805
281,hancheng,35.4763,110.4508,28.63,43,92,5.3,CN,1686134292
282,as sulaymaniyah,35.5571,45.4426,36.27,14,75,6.17,IQ,1686134292
283,vorgashor,67.5812,63.7837,8.02,51,100,7.49,RU,1686134293
284,hawaiian paradise park,19.585,-154.9731,21.66,95,100,3.09,US,1686134294
285,san patricio,27.9695,-97.7732,22.75,91,39,0.71,US,1686134294
286,hammerfest,70.6413,23.8361,2.44,87,75,3.09,NO,1686134295
287,katabu,10.6948,7.5116,29.52,56,100,3.42,NG,1686134296
288,nueva palestina,16.8175,-91.2611,20.09,97,81,1.18,MX,1686134296
289,klyuchi,56.3182,160.8422,4.28,95,97,1.84,RU,1686134297
290,hollabrunn,48.5489,16.0719,20.74,83,100,0.3,AT,1686134298
291,yung shue wan,22.2256,114.1117,30.62,84,100,0.45,HK,1686134298
292,iquique,-20.2141,-70.1525,18.19,77,17,1.63,CL,1686134299
293,yaren,-0.5471,166.9164,28.82,77,86,5.53,NR,1686134300
294,tyukhtet,56.5398,89.3115,24.16,60,46,7.37,RU,1686134300
295,prado,41.9204,-5.4204,18.93,81,100,5.2,ES,1686134301
296,koulikoro,12.8646,-7.5561,37.5,29,74,2.94,ML,1686134302
297,shangri-la,27.8453,99.7415,18.1,52,60,3.36,CN,1686134303
298,kaspiyskiy,46.2017,47.9202,25.01,31,40,1.0,RU,1686134303
299,lodja,-3.5242,23.5995,35.46,31,71,1.31,CD,1686134304
300,vila velha,-20.3297,-40.292,18.86,90,0,1.03,BR,1686134305
301,naze,5.452,7.0567,29.73,74,95,2.02,NG,1686134305
302,ouani,-12.134,44.4272,27.33,72,13,3.72,KM,1686134306
303,yashkul',46.1742,45.3435,24.87,28,100,2.82,RU,1686134307
304,kapuskasing,49.4167,-82.4333,5.0,75,20,3.09,CA,1686134307
305,ambon,47.5542,-2.5567,27.17,58,7,5.98,FR,1686134308
306,mayenne,48.3044,-0.618,25.0,44,27,4.93,FR,1686134309
307,mawu,34.4307,104.9176,19.5,49,72,1.72,CN,1686134309
308,santa cruz,28.4696,-16.2541,26.74,91,75,5.14,ES,1686133813
309,porto novo,6.4991,2.6253,27.88,62,85,3.87,BJ,1686134311
310,kribi,2.8656,9.892,27.95,76,100,2.76,CM,1686134311
311,yeppoon,-23.1348,150.7437,17.01,76,14,5.56,AU,1686134280
312,happy valley-goose bay,53.2964,-60.3112,4.29,93,100,10.29,CA,1686134313
313,fauske,67.2367,15.7844,0.37,100,100,1.37,NO,1686134314
314,plesetsk,62.7095,40.2844,12.2,40,86,2.54,RU,1686134314
315,crucecita,-34.6708,-58.356,17.97,92,75,3.09,AR,1686134315
316,chibougamau,49.9137,-74.3714,8.87,66,100,5.14,CA,1686134315
317,tralee,52.2693,-9.7054,18.43,53,61,3.7,IE,1686134316
318,piatykhatky,48.4124,33.7017,23.59,35,86,1.52,UA,1686134316
319,bargara,-24.8155,152.463,15.66,89,7,5.03,AU,1686134317
320,constitucion,-35.3318,-72.4119,13.19,87,78,1.71,CL,1686134317
321,kiunga,-6.116,141.2982,24.2,95,80,1.22,PG,1686134318
322,barra,-11.0893,-43.142,24.34,60,7,3.64,BR,1686134319
323,medina,24.4712,39.6111,40.17,6,0,6.69,SA,1686134319
324,korsun-shevchenkivskyi,49.418,31.2557,24.37,39,90,2.66,UA,1686134320
325,puerto san carlos,-12.6608,-63.55,22.18,77,98,0.7,BR,1686134320
326,quellon,-43.12,-73.6203,8.27,93,100,5.14,CL,1686134321
327,hasaki,35.753,140.8201,22.9,71,97,2.26,JP,1686134321
328,geraldton,-28.7704,114.6147,15.09,72,40,2.06,AU,1686134322
329,yei,4.0942,30.6757,27.46,56,48,1.69,SS,1686134322
330,sovetskaya gavan',48.9663,140.285,7.76,99,21,1.15,RU,1686134323
331,am djarass,16.0663,22.835,32.49,29,100,4.82,TD,1686134324
332,westport,41.1415,-73.3579,13.75,79,0,0.89,US,1686134300
333,sao vicente,-23.9604,-46.3847,20.01,26,0,1.7,BR,1686134325
334,saratamata,-15.2872,167.9906,25.92,72,96,7.68,VU,1686134325
335,tshikapa,-6.423,20.7888,36.51,30,3,0.92,CD,1686134326
336,nogliki,51.7954,143.1365,2.88,97,37,2.48,RU,1686134326
337,international falls,48.601,-93.4106,14.52,47,75,1.54,US,1686134327
338,yangjiang,21.8603,111.9777,26.81,88,100,2.93,CN,1686134327
339,menzelinsk,55.7256,53.1072,18.49,52,66,4.97,RU,1686134328
340,raton,36.8979,-104.4355,9.25,91,96,1.52,US,1686134328
341,kone,-21.0608,164.8619,19.56,67,32,2.08,NC,1686134329
342,toliara,-23.3542,43.6697,28.94,45,0,4.97,MG,1686134329
343,huaicheng,33.538,119.1325,26.04,55,100,4.58,CN,1686134330
344,vakfikebir,41.0472,39.2762,20.93,76,45,2.41,TR,1686134331
345,jaragua,-15.7529,-49.3344,18.5,49,22,1.39,BR,1686134331
346,kamaishi,39.2757,141.8858,16.08,93,19,0.47,JP,1686134332
347,kristiansund,63.2168,7.5453,9.36,87,75,7.72,NO,1686134332
348,fonte boa,-2.55,-66.9132,22.28,99,89,0.4,BR,1686134333
349,kingston,17.9712,-76.7928,27.9,91,20,7.2,JM,1686134333
